name,street,city,state,longitude,latitude
"Reedley633","558 E Dinuba Ave","Reedley","CA",-119.44334300208993,36.590081004700664
"Ridgecrest577","540 Perdew Ave.  #A","Ridgecrest","CA",-117.6807969890911,35.64924900217413
"Riverside545","6280 Brockton Ave","Riverside","CA",-117.39608100494188,33.957649010213856
"RiversideEast656","6425 Sycamore Canyon Blvd","Riverside","CA",-117.29921202049553,33.93446801879186
"Rocklin673","5245 S Grove St","Rocklin","CA",-121.23157996741662,38.787405010679464
"Roseville543","7200 Galilee Rd","Roseville","CA",-121.30485800155665,38.77635699174198
"Sacramento010","1020 N Street","Sacramento","CA",-121.4948648500698,38.57538661387534
"Sacramento501","4700 Broadway","Sacramento","CA",-121.4508801426044,38.546115331606075
"Salinas539","260 E Laurel Dr","Salinas","CA",-121.64744096884851,36.69782798117856
"SanAndreas568","745 Mountain Ranch Rd","San Andreas","CA",-120.67094601832963,38.19078710825758
"SanBernardino512","1310 N Waterman Ave","San Bernardino","CA",-117.27919000074229,34.12347700173197
"SanClemente648","2727 Via Cascadita","San Clemente","CA",-117.64237501548715,33.442735999563126
"SanDiego519","4375 Derrick Dr","San Diego","CA",-117.18318171759876,32.82352518161845
"SanDiegoNormal506","3960 Normal St","San Diego","CA",-117.14928399638706,32.7505399951481
"SanFrancisco503","1377 Fell St","San Francisco","CA",-122.44046297037995,37.77332498122627
"SanJose516","111 W Alma Ave","San Jose","CA",-121.87678299931659,37.31503499546788
"SanJoseDLPC645","2222 Senter Road","San Jose","CA",-121.84991195884064,37.31128199832108
"SanLuisObispo547","3190 S Higuera St","San Luis Obispo","CA",-120.66926197180024,35.25745801872455
"SanMarcos689","590 Rancheros Drive","San Marcos","CA",-117.14685422321435,33.13985047964847
"SanMateo593","425 N Amphlett Blvd","San Mateo","CA",-122.3240400116537,37.578690986884155
"SanPedro619","1511 N Gaffey St","San Pedro","CA",-118.29299300829554,33.758181004672394
"SantaAna542","1330 E First St","Santa Ana","CA",-117.85095938977385,33.745372738768175
"SantaBarbara549","535 Castillo St","Santa Barbara","CA",-119.70133203067878,34.41308001261814
"SantaClara632","3665 Flora Vista Ave","Santa Clara","CA",-121.99405596684387,37.35021899796567
